Time,Count,Trip,Loss,Battery,CPU,Trace,CAN,WiFi,MB,Current,PDP 0,PDP 1,PDP 2,PDP 3,PDP 4,PDP 5,PDP 6,PDP 7,PDP 8,PDP 9,PDP 10,PDP 11,PDP 12,PDP 13,PDP 14,PDP 15
	03/09 12:25:37,0,0,0,0.0,109.0,73 WD DT NA RA RD ,22.0,72.5,73,572.4,0.0,0.0,0.0,0.0,0.0,0.0,80.6,18.8,115.1,77.9,16.1,20.8,60.6,102.9,35.2,44.4
	03/09 12:25:37,1,58,128,40.3,55.5,98 BO NA DD ,52.5,58.0,101,779.5,16.1,10.9,67.6,14.2,50.6,90.8,16.0,102.5,33.2,38.5,16.1,66.9,50.6,102.2,97.0,6.1
	03/09 12:25:37,2,117,464,116.4,55.0,8c BO DD RT ,22.0,16.0,49,960.8,39.6,44.9,25.4,68.0,36.6,92.8,55.5,64.5,83.4,111.1,57.6,104.8,49.6,86.2,1.5,39.2
	03/09 12:25:37,3,111,412,105.5,50.5,9c BO NA DD RT ,52.0,16.0,69,776.1,57.1,74.8,107.1,36.0,25.6,8.2,26.0,64.8,11.8,12.6,57.5,88.2,24.5,100.2,3.0,78.6
	03/09 12:25:37,4,110,460,44.1,24.5,df BO WD NA DD RT RA RD ,40.0,39.5,86,894.9,16.1,18.8,115.1,77.9,16.1,20.8,60.6,102.9,35.2,44.4,53.5,64.4,29.0,64.2,66.0,109.9
	03/09 12:25:37,5,111,432,108.4,57.0,df BO WD NA DD RT RA RD ,20.0,35.5,97,687.4,56.1,66.8,33.0,8.8,25.5,98.4,20.5,82.4,49.0,12.1,60.1,74.9,22.0,64.4,9.5,4.0
	03/09 12:25:37,6,116,444,110.4,22.0,df BO WD NA DD RT RA RD ,24.5,16.0,80,988.9,57.5,92.2,2.2,45.8,51.1,94.2,37.1,94.9,75.5,110.5,52.6,70.8,16.0,102.4,81.0,5.0
	03/09 12:25:37,7,105,464,101.4,52.0,df BO WD NA DD RT RA RD ,34.0,58.5,97,748.0,32.6,70.9,35.2,45.9,55.0,82.4,16.1,66.9,67.1,46.4,22.0,64.4,16.1,68.9,43.6,14.5
	03/09 12:25:37,8,44,128,48.1,40.0,b0 BO DT NA ,43.0,57.5,46,1084.4,42.1,66.8,58.6,76.6,57.1,102.8,55.6,92.4,113.5,36.0,30.1,104.8,54.6,74.4,113.0,6.0
	03/09 12:25:37,9,48,192,32.2,49.5,90 BO NA ,58.5,55.0,116,824.1,24.5,64.4,99.1,77.5,48.6,78.9,31.0,64.4,17.0,7.5,33.6,94.8,50.5,124.2,1.6,6.5
	03/09 12:25:37,10,32,240,100.4,58.0,9e BO NA DD RT RA ,52.5,54.0,115,833.2,35.1,36.5,25.8,68.0,16.1,28.8,16.1,100.8,123.0,77.9,58.0,64.8,55.6,72.8,41.0,13.1
	03/09 12:25:37,11,117,456,114.4,55.0,8b BO DD RA RD ,54.0,60.5,32,965.4,55.1,92.8,75.4,76.9,23.0,64.4,54.1,94.8,27.0,46.5,52.6,94.8,31.0,64.5,35.5,77.1
	03/09 12:25:37,12,32,332,116.4,58.0,96 BO NA RT RA ,55.5,55.0,32,503.1,58.1,66.8,27.2,103.8,16.0,0.0,0.0,1.6,84.4,5.5,72.8,51.0,16.0,0.0,0.0,0.0
